"Use Type","Specific to Use Requirements",RM1,RM2,RM3,RM4,RM5,MH
RESIDENTIAL,,,,,,,
"(1) Residential",,,,,,,
"Accessory Dwelling Unit - Residential",23-3D-1030,P,P,P,P,P,—
"Bed and Breakfast",23-3D-1100,P,P,P,P,P,—
Co-housing,,P,P,—,—,—,—
"Cottage Court",23-3D-1160,P,—,—,—,—,—
Duplex,23-3D-1180,P,—,—,—,—,—
"Group Residential",,P,P,P,P,P,—
"Home Occupations",23-3D-1210,P,P,P,P,P,P
Live/Work,23-3D-1220,P,P,P,P,P,—
"Manufactured Home",,—,—,—,—,—,P
Multi-Family,,P,P,P,P,P,—
"Senior/Retirement Housing",23-3D-1340,P,P,P,P,P,—
"Single-Family Attached",,P,—,—,—,—,—
"Short-term Rental",,,,,,,
"Types 1",23-3D-1350,P,P,P,P,P,P
"Types 3",23-3D-1350,P,P,P,P,P,P
Townhouse,23-3D-1390,P,P,P,P,P,—
"(2) Residential Support",,,,,,,
"Residential Care Facility",,—,—,MUP,P,P,—
"Transitional and Supportive Housing",,—,—,CUP,CUP,CUP,—
COMMERCIAL,,,,,,,
"(3) Services",,,,,,,
"Adult Care",,,,,,,
"Small ≤6",,P,P,P,P,P,P
"Large 7 ≥ and ≤20",,P,P,P,P,P,P
"Commercial ≥21",,CUP,CUP,CUP,CUP,CUP,CUP
Childcare,,,,,,,
"Small ≤12",,P,P,P,P,P,P
"Large 13 ≥ and ≤24",,P,P,P,P,P,P
"Commercial ≥25",,CUP,CUP,CUP,CUP,CUP,CUP
"(4) Office",,,,,,,
"No Office uses allowed",,,,,,,
"(5) Automobile Related",,,,,,,
"No Automobile Related uses allowed",,,,,,,
"(6) Retail",,,,,,,
"No Retail uses allowed",,,,,,,
"(7) Restaurant and Bar",,,,,,,
"No Restaurant and Bar uses allowed",,,,,,,
"(8) Entertainment and Recreation",,,,,,,
"Indoor ≤ 5,000 sf",23-3D-1280,MUP,MUP,MUP,MUP,MUP,CUP
"Indoor > 5,000 sf","23-3D-1280 ",MUP,MUP,MUP,MUP,MUP,CUP
"Outdoor, Formal",23-3D-1280,CUP,CUP,CUP,CUP,CUP,CUP
"Outdoor, Informal",23-3D-1280,P,P,P,P,P,P
"Outdoor, Natural",23-3D-1280,P,P,P,P,P,P
"(9) Industrial",,,,,,,
"No Industrial uses allowed",,,,,,,
"(10) Innovation and Technology",,,,,,,
"No Innovation and Technology uses allowed",,,,,,,
AGRICULTURAL,,,,,,,
"(11) Agriculture",,,,,,,
"Community Agriculture",23-3D-1130,P,P,P,P,P,P
CIVIC,,,,,,,
"(12) Civic and Public Assembly",,,,,,,
"Library, Museum, or Public",,CUP,CUP,CUP,CUP,CUP,CUP
"Art Gallery",,,,,,,
"Meeting Facility (public or private)",,CUP,CUP,CUP,CUP,CUP,CUP
"Public Safety Facility",,CUP,CUP,CUP,CUP,CUP,CUP
"Religious Assembly Facility",,P,P,P,P,P,P
School,,,,,,,
"Business, or Trade",23-3D-1330,CUP,CUP,CUP,CUP,CUP,CUP
"College or University",23-3D-1330,CUP,CUP,CUP,CUP,CUP,CUP
"Private Primary",23-3D-1330,CUP,CUP,CUP,CUP,CUP,CUP
"Private Secondary",23-3D-1330,CUP,CUP,CUP,CUP,CUP,CUP
"Public Primary",23-3D-1330,P,P,P,P,P,P
"Public Secondary",23-3D-1330,P,P,P,P,P,P
OTHER,,,,,,,
"(13) Other",,,,,,,
"Accessory Uses",23-3D-1050,P,P,P,P,P,P
Communications,23-3D-1120,P,P,P,P,P,P
Utilities,,,,,,,
Local,,P,P,P,P,P,P
Telecommunications,23-3D-1380,P,P,P,P,P,P
"Special Uses",23-3D-1360,CUP,CUP,CUP,CUP,CUP,CUP
