"Use Type","Specific to Use Requirements",UC,CC,DC
RESIDENTIAL,,,,
"(1) Residential",,,,
"Accessory Dwelling Unit - Residential",23-3D-1030,P,P,P
"Accessory Dwelling Unit - Non-Residential",23-3D-1040,P,P,P
"Bed and Breakfast",23-3D-1100,P,P,P
"Group Residential",,P,P,P
"Home Occupations",23-3D-1210,P,P,P
Live/Work,23-3D-1220,P,P,P
Multi-Family,,P,P,P
"Senior/Retirement Housing",23-3D-1340,P,P,P
"Short-term Rental",,,,
"Types 1",23-3D-1350,P,P,P
"Types 2",23-3D-1350,—,P1,P1
"Types 3",23-3D-1350,P,P,P
Townhouse,23-3D-1390,P,P,—
"(2) Residential Support",,,,
"Residential Care Facility",,P,P,P
"Transitional and Supportive Housing",,CUP,CUP,CUP
COMMERCIAL,,,,
"(3) Services",,,,
"Adult Care",,,,
"Small ≤6",,P,P,P
"Large 7 ≥ and ≤20",,P,P,P
"Commercial ≥21",,P,P,P
"Alternative Financial Services",23-3D-1080,CUP,—,CUP
"Animal Service/Boarding",,,,
Housepets,,P,P,P
"Business and Financial/Professional Services",,P,P,P
"Commercial Services and Repair",,,,
"No Outside Storage",,P,P,P
Childcare,,,,
"Small ≤12",,P,P,P
"Large 13 ≥ and ≤24",,P,P,P
"Commercial ≥25",,P,P,P
"Drive-Through, Retail, or Service Facility",23-3D-1170,CUP,—,—
Hotel/Motel,,P,P,P
"Medical Services",,P,P,P
"Personal Services",,,,
Non-restricted,,P,P,P
Restricted,,MUP,CUP,CUP
"(4) Office",,,,
"Office, General (non-medical)",,P,P,P
"(5) Automobile Related",,,,
"Automobile Sales, Rental, and Storage",,CUP,CUP,CUP
"Automobile Repair",,CUP,CUP,CUP
"Commercial Vehicle Storage and Dispatch",,CUP,CUP,CUP
"Gas Station",23-3D-1190,CUP,CUP,CUP
"(6) Retail",,,,
"Alcohol Sales ",23-3D-1070,P,P,P
"Commercial Food Preparation",,P,P,P
"Food Sales",,P,P,P
"General Retail",,,,
"≤ 100,000 sf",,P,P,P
"> 100,000 sf",,CUP,CUP,CUP
"w/ Outside Storage",23-3D-1200,CUP,—,—
"Mobile Retail Sales",23-3D-1260,P,P,P
"(7) Restaurant and Bars",,,,
Bar/Nightclub,,,,
Indoor,,P,P,P
"Outdoor; Late Night",,P,P,P
Micro-Brewery/Micro-Distillery/Winery,,P,P,P
"Mobile Food Sales",23-3D-1250,P,P,P
Restaurant,,,,
"w/o Alcohol Sales",,P,P,P
"w/ Alcohol Sales",23-3D-1320,P,P,P
Drive-Through,23-3D-1170,CUP,—,—
"Late Night Operation",23-3D-1320,P,P,P
"(8) Entertainment and Recreation",,,,
"Adult Entertainment",23-3D-1060,—,P/CUP,P/CUP
"Performance Venue",,,,
Indoor,,,,
"≤ 5,000 sf",23-3D-1270,P,P,P
"> 5,000 sf",23-3D-1270,P,P,P
Outdoor,,,,
"≤ 5,000 sf",23-3D-1270,P,P,P
"> 5,000 sf",23-3D-1270,MUP,MUP,MUP
Recreation,,,,
"Indoor ≤ 5,000 sf",23-3D-1280,P,P,P
"Indoor > 5,000 sf",23-3D-1280,P,P,P
"Outdoor, Formal",23-3D-1280,P,P,P
"Outdoor, Informal",23-3D-1280,P,P,P
"Outdoor, Natural",23-3D-1280,—,—,P
"Spectator Sport or Entertainment",,CUP,CUP,CUP
"Studio: art, dance, martial arts, music",23-3D-1370,P,P,P
INDUSTRIAL,,,,
"(9) Industrial",,,,
"Manufacturing and Storage",,,,
"Limited Machinery",23-3D-1230,CUP,CUP,CUP
"(10) Innovation and Technology",,,,
"Research and Development",,,,
Non-Hazardous,23-3D-1310,MUP,MUP,MUP
AGRICULTURAL,,,,
"(11) Agriculture",,,,
"Community Agriculture",23-3D-1130,MUP,MUP,MUP
CIVIC,,,,
"(12) Civic and Public Assembly",,,,
"Convention Center",23-3D-1150,—,—,P
Government,,P,P,P
Hospital,,P,P,P
"Library, Museum, or Public Art Gallery",,P,P,P
"Meeting Facility (public or private)",,P,P,P
"Religious Assembly Facility",,P,P,P
School,,,,
"Business, or Trade",23-3D-1330,P,P,P
"College or University",23-3D-1330,P,P,P
"Private Primary",23-3D-1330,P,P,P
"Private Secondary",23-3D-1330,P,P,P
"Public Primary",23-3D-1330,P,P,P
"Public Secondary",23-3D-1330,P,P,P
OTHER,,,,
"(13) Other",,,,
"Accessory Uses",23-3D-1050,P,P,P
Communications,23-3D-1120,P,P,P
Utilities,,,,
Local,,P,P,P
Telecommunications,23-3D-1380,P,P,P
"Transit Terminal",,CUP,CUP,CUP
